timestamp,mode_req_angular_velocity,mode_req_attitude,mode_req_local_alt,mode_req_local_position,mode_req_local_position_relaxed,mode_req_global_position,mode_req_mission,mode_req_offboard_signal,mode_req_home_position,mode_req_wind_and_flight_time_compliance,mode_req_prevent_arming,mode_req_manual_control,mode_req_other,angular_velocity_invalid,attitude_invalid,local_altitude_invalid,local_position_invalid,local_position_invalid_relaxed,local_velocity_invalid,global_position_invalid,auto_mission_missing,offboard_control_signal_lost,home_position_invalid,manual_control_signal_lost,gcs_connection_lost,battery_warning,battery_low_remaining_time,battery_unhealthy,geofence_breached,mission_failure,vtol_fixed_wing_system_failure,wind_limit_exceeded,flight_time_limit_exceeded,local_position_accuracy_low,fd_critical_failure,fd_esc_arming_failure,fd_imbalanced_prop,fd_motor_failure
270941066,8311934,8310910,8261758,8257592,68,56,8,16384,32,2621464,3944480,33863,2139095040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271491164,8311934,8310910,8261758,8257592,68,56,8,16384,32,2621464,3944480,33863,2139095040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272041072,8311934,8310910,8261758,8257592,68,56,8,16384,32,2621464,3944480,33863,2139095040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272591167,8311934,8310910,8261758,8257592,68,56,8,16384,32,2621464,3944480,33863,2139095040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273141057,8311934,8310910,8261758,8257592,68,56,8,16384,32,2621464,3944480,33863,2139095040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273691136,8311934,8310910,8261758,8257592,68,56,8,16384,32,2621464,3944480,33863,2139095040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274241071,8311934,8310910,8261758,8257592,68,56,8,16384,32,2621464,3944480,33863,2139095040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274791169,8311934,8310910,8261758,8257592,68,56,8,16384,32,2621464,3944480,33863,2139095040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275341059,8311934,8310910,8261758,8257592,68,56,8,16384,32,2621464,3944480,33863,2139095040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275891168,8311934,8310910,8261758,8257592,68,56,8,16384,32,2621464,3944480,33863,2139095040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276441091,8311934,8310910,8261758,8257592,68,56,8,16384,32,2621464,3944480,33863,2139095040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276991193,8311934,8310910,8261758,8257592,68,56,8,16384,32,2621464,3944480,33863,2139095040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277541059,8311934,8310910,8261758,8257592,68,56,8,16384,32,2621464,3944480,33863,2139095040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278091134,8311934,8310910,8261758,8257592,68,56,8,16384,32,2621464,3944480,33863,2139095040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
